spliced	intron	gene_name
ENSMUSG00000106895.2	ENSMUSG00000106895.2-I	Gm4754
ENSMUSG00000098264.3	ENSMUSG00000098264.3-I	Mir6414
ENSMUSG00000067285.5	ENSMUSG00000067285.5-I	Gm16223
ENSMUSG00000105416.2	ENSMUSG00000105416.2-I	Gm42553
ENSMUSG00000039782.16	ENSMUSG00000039782.16-I	Cpeb2
ENSMUSG00000105374.2	ENSMUSG00000105374.2-I	Gm42551
ENSMUSG00000105326.2	ENSMUSG00000105326.2-I	6030400A10Rik
ENSMUSG00000107244.2	ENSMUSG00000107244.2-I	Gm43699
ENSMUSG00000104691.2	ENSMUSG00000104691.2-I	Gm43021
ENSMUSG00000061535.12	ENSMUSG00000061535.12-I	C1qtnf7
ENSMUSG00000104547.2	ENSMUSG00000104547.2-I	Gm43022
ENSMUSG00000104912.2	ENSMUSG00000104912.2-I	Gm43023
ENSMUSG00000039765.16	ENSMUSG00000039765.16-I	Cc2d2a
ENSMUSG00000104823.2	ENSMUSG00000104823.2-I	Gm43182
ENSMUSG00000029082.18	ENSMUSG00000029082.18-I	Bst1
ENSMUSG00000029084.6	ENSMUSG00000029084.6-I	Cd38
ENSMUSG00000086479.3	ENSMUSG00000086479.3-I	Gm16014
ENSMUSG00000033036.10	ENSMUSG00000033036.10-I	Gm7879
ENSMUSG00000093859.3	ENSMUSG00000093859.3-I	Gm7882
ENSMUSG00000106573.2	ENSMUSG00000106573.2-I	Gm43183
ENSMUSG00000072962.4	ENSMUSG00000072962.4-I	Gm16401
ENSMUSG00000105048.2	ENSMUSG00000105048.2-I	Gm42966
ENSMUSG00000105373.2	ENSMUSG00000105373.2-I	Gm42429
ENSMUSG00000105353.2	ENSMUSG00000105353.2-I	Gm42428
ENSMUSG00000105263.2	ENSMUSG00000105263.2-I	Gm42427
ENSMUSG00000105503.2	ENSMUSG00000105503.2-I	Gm42982
ENSMUSG00000105149.2	ENSMUSG00000105149.2-I	Gm42983
ENSMUSG00000104784.2	ENSMUSG00000104784.2-I	Gm42984
ENSMUSG00000104541.2	ENSMUSG00000104541.2-I	Gm43114
ENSMUSG00000105648.2	ENSMUSG00000105648.2-I	Gm43505
ENSMUSG00000104894.5	ENSMUSG00000104894.5-I	Gm43507
ENSMUSG00000106656.2	ENSMUSG00000106656.2-I	Gm42750
